fid,provcd,collegetype,cfps2010eduy_best,qc705,qc605,qc505,qc407,qc307,qc207,qc107
110001,11,,9,1,1,-8,-8,-8,-8,-8
110001,11,-8.0,12,1,1,0,-8,-8,-8,-8
110003,11,-8.0,12,1,1,1,-8,-8,-8,-8
110003,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110005,11,-8.0,12,1,1,0,-8,-8,-8,-8
110005,11,-8.0,12,1,1,1,-8,-8,-8,-8
110006,11,-8.0,9,1,0,-8,-8,-8,-8,-8
110006,11,-8.0,12,1,1,0,-8,-8,-8,-8
110007,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110007,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110007,11,-8.0,12,1,1,1,-8,-8,-8,-8
110007,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110009,11,-8.0,12,0,1,1,-8,-8,-8,-8
110009,11,-8.0,2,0,-8,-8,-8,-8,-8,-8
110009,11,-8.0,15,1,1,1,-8,-8,-8,-8
110009,11,-8.0,12,1,1,1,-8,-8,-8,-8
110009,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110009,11,3.0,16,1,1,1,-8,1,-8,-8
110010,11,-8.0,12,1,1,1,-8,-8,-8,-8
110011,11,-8.0,9,1,0,-8,-8,-8,-8,-8
110011,11,-8.0,6,1,-8,-8,-8,-8,-8,-8
110013,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110013,11,-8.0,9,1,0,-8,-8,-8,-8,-8
110013,11,-8.0,10,1,1,-8,-8,-8,-8,-8
110015,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110015,11,-8.0,12,1,1,1,-8,-8,-8,-8
110020,11,-8.0,12,1,1,1,-8,-8,-8,-8
110020,11,-8.0,9,0,0,-8,-8,-8,-8,-8
110020,11,-8.0,15,1,1,1,1,-8,-8,-8
110020,11,-8.0,12,1,1,1,-8,-8,-8,-8
110020,11,-8.0,12,1,1,1,-8,-8,-8,-8
110020,11,-8.0,9,1,0,-8,-8,-8,-8,-8
110021,11,-8.0,3,1,-8,-8,-8,-8,-8,-8
110021,11,-8.0,12,1,1,1,-8,-8,-8,-8
110022,11,-8.0,15,1,1,-8,1,-8,-8,-8
110022,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110023,11,-8.0,15,0,1,1,1,-8,-8,-8
110024,11,-8.0,9,1,0,1,-8,-8,-8,-8
110024,11,-8.0,12,1,1,-8,-8,-8,-8,-8
110026,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110026,11,14.0,16,1,1,1,1,1,-8,-8
110026,11,-8.0,15,1,1,1,1,-8,-8,-8
110027,11,-8.0,12,1,1,1,-8,-8,-8,-8
110027,11,-8.0,12,0,0,1,-8,-8,-8,-8
110028,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110028,11,1.0,16,1,-8,1,-8,0,-8,-8
110030,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110031,11,-8.0,12,1,1,1,-8,-8,-8,-8
110031,11,-8.0,12,1,1,1,-8,-8,-8,-8
110031,11,-8.0,12,1,1,1,-8,-8,-8,-8
110033,11,-8.0,12,1,1,1,-8,-8,-8,-8
110033,11,-8.0,12,1,1,1,-8,-8,-8,-8
110033,11,-8.0,10,1,1,-8,-8,-8,-8,-8
110035,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110035,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110035,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110038,11,-8.0,12,1,1,1,-8,-8,-8,-8
110039,11,1.0,16,1,1,1,-8,0,-8,-8
110039,11,8.0,16,1,1,1,-8,0,-8,-8
110040,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110040,11,-8.0,10,1,1,0,-8,-8,-8,-8
110040,11,-8.0,12,1,1,1,-8,-8,-8,-8
110041,11,-8.0,12,1,1,1,-8,-8,-8,-8
110041,11,-8.0,15,1,1,1,1,-8,-8,-8
110042,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110042,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110042,11,-8.0,15,1,1,1,1,-8,-8,-8
110043,11,-8.0,12,1,1,1,-8,-8,-8,-8
110043,11,-8.0,12,1,1,1,-8,-8,-8,-8
110043,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110043,11,-8.0,12,1,1,1,-8,-8,-8,-8
110044,11,-8.0,9,0,1,-8,-8,-8,-8,-8
110044,11,-8.0,12,1,1,1,-8,-8,-8,-8
110044,11,-8.0,15,1,1,1,1,-8,-8,-8
110044,11,-8.0,9,0,0,-8,-8,-8,-8,-8
110045,11,-8.0,6,0,-8,-8,-8,-8,-8,-8
110047,11,-8.0,12,0,1,1,-8,-8,-8,-8
110047,11,-8.0,15,1,1,1,1,-8,-8,-8
110050,11,-8.0,12,1,1,1,-8,-8,-8,-8
110050,11,-8.0,12,1,1,1,-8,-8,-8,-8
110050,11,-8.0,9,0,0,-8,-8,-8,-8,-8
110051,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110051,11,-8.0,12,1,1,1,1,-8,-8,-8
110051,11,-8.0,12,1,0,1,-8,-8,-8,-8
110051,11,-8.0,12,1,1,1,-8,-8,-8,-8
110052,11,-8.0,12,1,1,1,-8,-8,-8,-8
110052,11,-8.0,12,1,0,0,-8,-8,-8,-8
110052,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110052,11,-8.0,15,1,1,1,-8,-8,-8,-8
110054,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110055,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110055,11,-8.0,9,0,0,-8,-8,-8,-8,-8
110056,11,-8.0,12,1,1,1,-8,-8,-8,-8
110056,11,-8.0,6,0,-8,-8,-8,-8,-8,-8
110057,11,-8.0,9,-8,-8,-8,-8,-8,-8,-8
110057,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110059,11,1.0,16,1,1,1,-8,1,-8,-8
110060,11,-8.0,12,1,1,1,-8,-8,-8,-8
110060,11,-8.0,15,1,1,1,1,-8,-8,-8
110060,11,-8.0,12,1,1,1,-8,-8,-8,-8
110061,11,-8.0,6,0,-8,-8,-8,-8,-8,-8
110062,11,-8.0,12,1,1,1,-8,-8,-8,-8
110062,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110063,11,-8.0,0,-8,-8,-8,-8,-8,-8,-8
110063,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110064,11,-8.0,14,1,1,1,-8,-8,-8,-8
110065,11,-8.0,6,1,-8,-8,-8,-8,-8,-8
110065,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110066,11,-8.0,12,1,1,1,-8,-8,-8,-8
110066,11,-8.0,12,1,1,1,-8,-8,-8,-8
110067,11,2.0,16,1,1,1,-8,1,-8,-8
110068,11,4.0,16,1,1,1,-8,1,-8,-8
110069,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110069,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110069,11,1.0,16,1,1,1,-8,1,-8,-8
110070,11,3.0,16,1,1,-8,-8,0,-8,-8
110070,11,-8.0,9,1,-8,-8,-8,-8,-8,-8
110071,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110071,11,-8.0,12,1,1,1,-8,-8,-8,-8
110072,11,-8.0,12,1,1,1,-8,-8,-8,-8
110072,11,-8.0,15,1,1,1,1,-8,-8,-8
110073,11,-8.0,6,0,-8,-8,-8,-8,-8,-8
110074,11,-8.0,12,0,-8,1,-8,-8,-8,-8
110074,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110075,11,-8.0,12,1,1,1,-8,-8,-8,-8
110075,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110075,11,-8.0,9,1,1,-8,-8,-8,-8,-8
110076,11,-8.0,15,1,1,1,1,-8,-8,-8
